Previous State,Topic Request,Request,Open Response,Answer,Correction,Aware,Unaware,Unclear,Misunderstood,Understood,Agree,Disagree,Ask Question,Learn Emotional,Pondering,Connect,Other
Topic Request,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Request,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Response,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,0
Answer,0,0,2,12,0,0,1,2,1,5,1,0,5,6,2,1,1
Correction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aware,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Unaware,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0
Unclear,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0
Misunderstood,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Understood,0,0,1,3,0,0,1,1,1,2,0,0,2,4,1,1,2
Agree,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
Disagree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ask Question,0,0,0,7,0,0,0,0,0,4,0,0,9,7,1,0,0
Learn Emotional,0,0,0,5,0,0,1,1,0,2,3,0,3,4,1,4,3
Pondering,0,0,1,2,0,0,0,0,0,2,1,0,1,1,0,0,0
Connect,2,0,1,1,0,1,1,0,0,0,0,0,2,0,0,2,0
Other,0,0,1,1,0,0,0,1,0,1,1,0,3,0,0,0,1
