Previous State,Topic Open,Topic Ask,Importance,Short Explanation,Detailed Explanation,Fact,Example,Story,Clarification,Answer,Open Ask,Question Ask,Answer Respond,Connect,Branch,Other
Topic Open,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0
Topic Ask,1,1,2,1,0,1,1,0,0,0,1,0,1,1,0,0
Importance,1,0,3,4,1,0,1,0,2,0,1,4,1,0,0,1
Short Explanation,1,0,4,11,5,1,2,0,9,6,2,6,6,2,0,2
Detailed Explanation,0,0,1,5,3,0,2,0,4,2,1,5,0,0,0,1
Fact,0,0,1,2,0,2,0,0,0,1,0,1,1,1,0,0
Example,0,0,0,2,0,0,1,0,3,1,0,4,4,0,0,0
Story,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarification,0,1,1,8,2,0,2,0,2,5,1,5,6,2,1,1
Answer,0,0,2,4,4,0,0,0,1,6,1,4,3,0,0,2
Open Ask,1,0,2,1,3,2,0,0,1,1,0,2,3,2,0,0
Question Ask,0,0,1,11,1,1,3,0,8,1,2,11,11,3,0,0
Answer Respond,0,1,2,7,2,2,3,0,3,2,1,7,8,3,1,1
Connect,1,1,2,4,0,2,1,0,2,4,3,2,3,6,0,1
Branch,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
Other,0,0,0,1,1,1,0,0,1,1,1,1,1,3,0,0
